ACLARA Biosciences Inc, Aclara BioSciences Inc. ,,
AFx Inc, AFx,",  Inc. ",
ALARIS Medical Systems Inc, ALARIS Medical Systems Inc. ,,
AMBI Inc, ,,
AMT Labs Inc, ,,
ANSYS Technologies Inc, ,,
ATL Ultrasound Inc,  ,,
AVECOR Cardiovascular Inc, AVECOR Cardiovascular,",  Inc. ",
Aastrom Biosciences Inc, Aastrom Biosciences,",  Inc. ",
Abbott Laboratories-Epidural, Abbott Laboratories ,,
Abgenix Inc, Abgenix,",  Inc. ",
Accumetrics Inc, Accumetrics,",  Inc. ",
AcroMed Corp,  ,,
AcryMed Inc, AcryMed,",  Inc. ",
ActivX Biosciences Inc, ActivX Biosciences,",  Inc. ",
Acufex Microsurgical Inc, Acufex Microsurgical Inc. ,,
Adeza Biomedical Corp, ,,
Adiana Inc, Adiana,",  Inc. ",
Advanced Bionics Corp, Advanced BioNutrition Corp. ,,
Advanced Medical Systems, ,,
Advanced Plasma Systems Inc, ,,
Advanced Surgical Inc, Advanced Surgical,",  Inc. ",
AeroGen Inc, Aerogen Inc. ,,
Aesgen Inc, Aesgen,",  Inc. ",
Agensys Inc, Agensys,",  Inc. ",
Agility Communications Inc, ,,
Agouron Pharmaceuticals Inc, Agouron Pharmaceuticals,",  Inc. ",
AgraQuest Inc, AgraQuest,",  Inc. ",
Agrigenetics Corp, Agrigenetics Corporation ,,
Agritope Inc, ,,
Air-Shields Inc(Healthdyne), Healthdyne,",  Inc.",
Akzona Inc, ,,
Alanex Corp, ,,
Alcide Corp, Alcide Corporation ,,
Alliance Pharmaceutical Corp-, Alliance Pharmaceutical Corp. ,,
Altiva Corp, Altiva Corporation ,,
American Biophysics Corp, ,,
American Cystoscope Makers, ,,
American Cytoscope Makers, ,,
American Hospital Supply Corp, ,,
Amira Inc, Amira,",  Inc. ",
Anatros Corp, Anatros Corporation ,,
Andrx Corp, ,,
Anergen Inc, Anergen,",  Inc. ",
Anesta Corp, Anesta Corporation ,,
Angiomedics Inc, Angiomedics,",  Inc. ",
Animas Corp, Animas Corporation ,,
Antigenics Inc-Feline Leukemia, ,,
Apollo BioPharmaceutics Inc, Apollo BioPharmaceuticals ,,
Applied Genomics Inc, ,,
Applied Immune Sciences Inc, Applied Immune Sciences,",  Inc. ",
Applied Molecular Evolution, Applied Molecular Evolution,",  Inc. ",
Applied Solar Energy Corp, ,,
Applied bioTech-Diagnostics,,,
Applied bioTechnology Inc, Applied Biotechnology,",  Inc. ",
Aquila Biopharmaceuticals Inc, Aquila Biopharmaceuticals,",  Inc. ",
Arch Chemicals Inc, ,,
Archemix Corp-Hemophilia Asts, Archemix Corporation ,,
Arcturus Bioscience Inc-Laser, ,,
Ardian Inc, Ardian,",  Inc. ",
ArthroCare Corp, ArthroCare Corporation ,,
Ascension Orthopedics Inc, Ascension Orthopedics,",  Inc. ",
Ascent Pediatrics Inc, Ascent Pediatrics,",  Inc. ",
Asthmatx Inc, Asthmatx,",  Inc. ",
Astralis LLC, ,,
Athena Diagnostics Inc, ,,
Athena Neurosciences Inc, Athena Neurosciences,",  Inc. ",
Athenix Corp, Athenix Corporation ,,
Atrionix Inc, Atrionix,",  Inc. ",
Atritech Inc, Atritech,",  Inc. ",
Aurora Biosciences Corp,,,
Automatic Liquid Packaging Inc, ,,
Aventis Behring LLC, ,,
Avigen Inc, ,,
Aviron, Aviron ,,
BIOMEC Inc, ,,
Baird Corp, ,,
Banner Pharmacaps Inc, ,,
Basic American Med Prods Inc, ,,
Baxa Corp,,,
Becker Underwood Inc, ,,
Bergen Brunswig Medical Corp, ,,
Bio-Logic Systems Corp, ,,
Bio-Medicus Inc, ,,
Bio-Response Inc, ,,
BioArray Solutions Ltd, BioArray Solutions,",  Ltd. ",
BioForm Medical Inc, ,,
BioLucent Inc, BioLucent,",  Inc. ",
Biomedical Dynamics Corp, ,,
Bionx Implants Inc, Bionx Implants,",  Inc. ",
Biosearch Inc, ,,
Biosite Diagnostics,,,
Biosystems Inc, ,,
Biotel Inc, ,,
Biotrack Inc, ,,
Birtcher Medical Systems Inc, Birtcher Medical Systems,",  Inc. ",
Block Drug Co, ,,
Brooktree Corp, ,,
Bruker AXS Inc, Bruker AXS,",  Inc. ",
Burdick Inc, Burdick Inc. ,,
CAS Inc, ,,
CIMA Labs Inc, CIMA Labs,",  Inc. ",
CIMCO Inc, ,,
